State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years,Latitude,Longitude
Andhra Pradesh,EG,Ravulapalem PS,NH -16,"Govt J.R.Collage center,RTC Ingate ",Colcutta 1036,Colcutta 1036.5,16,9,13,38,19,14,17,50,16.762483,81.8423198
Andhra Pradesh,EG,Ravulapalem PS,NH -16,Ethakota center ,Colcutta 1042,Colcutta 1042.5,13,14,11,38,15,16,16,47,16.7197294,81.8347317
Andhra Pradesh,EG,Ravulapalem PS,NH -16,Gopalapuam center,Colcutta 1047,Colcutta 1047.5,12,10,14,36,13,13,18,44,13.0489376,80.2586162
Andhra Pradesh,WG Dist,Palakol Rural ,NH,Penkullapadu to Digamarru bypass center,500,500,12,13,5,30,15,16,6,37,16.470015,80.2564898
Andhra Pradesh,EG,Coringa PS,NH-216,Gurajanapalli,Chollangi Bridge (1 KM),N.S.N Reddy Godowns (1.5 Km),5,8,5,18,9,13,9,31,16.8988486,82.2208069
Andhra Pradesh,Guntur Urban,NALLAPADU PS ,NH-16,Y-Junction,to wards Y-Junction 0 meeters,to wards Y-Junction 300 meeters,10,18,36,64,4,8,17,29,19.1595944,73.0306635
Andhra Pradesh,Nellore,Sullurupeta ps ,NH-16,Kotapoluru cross road,82+400,82+900,2,3,2,7,2,22,5,29,13.7008756,80.0209065
Andhra Pradesh,WG Dist,Palakol Rural ,NH,Lankalakoderu center to S-Turning.,500,500,9,6,4,19,13,10,6,29,16.526516,81.6815743
Andhra Pradesh,Visakhapatnam District,Anakapalli (R) ,NH,KNR Peta ,1,1.5,24,21,,45,18,9,,27,17.7338268,83.2997187
Andhra Pradesh,EG,Annavaram PS,NH-16,Kathipudi HP Petrol Bunk to Fly over Bridge ,200 mtrs stome,800 Mtrs stone,9,14,9,32,3,14,9,26,17.2418038,82.3370505
Arunachal Pradesh,East Siang Distt.,Pasighat,NH -515,Sawmill area,Sawmill area,100 mtrs. Approx.,15,31,26,72,7,8,11,26,35.1009893,-106.6663912
Arunachal Pradesh,Papum Pare,Itanagar PS,NH 415,Mithun gate/o point,Mithun gate/o point,0.5 km,2,2,1,5,0,0,1,1,27.1028136,93.6331499
Arunachal Pradesh,Upper Subansiri Distt.,Daporijo PS,NH 52,Post office Daporijo,Post office Daporijo about 1/2  km from PS,GREF camp Dapoprijo about 1 km from PS Daporijo,1,4,,5,0,1,0,1,27.9819831,94.2159925
Arunachal Pradesh,Papum Pare,Itanagar PS,NH 415,Bank Tinali,Bank Tinali,0.5 km,3,1,3,7,0,0,0,0,27.0843682,93.6053163
Arunachal Pradesh,Papum Pare (Capital),Itanagar PS,NH 415,"Ganga, Near RKM Hospital","Ganga, Near RKM Hospital",0.5 km,2,3,0,5,0,0,0,0,27.0843682,93.6053163
Assam,CITY GUWAHATI,Gorchuk,NH-37,"Garchuk to NP School, Lalunggaon",,,59,65,69,193,32,35,37,104,26.1051468,91.7125264
Assam,CITY GUWAHATI,Gorchuk,NH-37,Boragaon to Garchuk,,,59,55,49,163,28,27,26,81,26.1051468,91.7125264
Assam,CITY GUWAHATI,Sonapur,NH-37,Patarkuchi to Naziraghat,,,49,50,34,133,18,22,22,62,26.1095359,91.8059879
Assam,CITY GUWAHATI,Jalukbari OP,NH-37,Padumbori to Tetelia,,,40,40,46,126,15,18,21,54,26.1354336,91.6710267
Assam,CITY GUWAHATI,Sonapur,NH-37,Baligate to Kapalkata to Samata,,,59,56,42,157,30,26,20,76,26.1172425,91.9802013
Assam,CITY GUWAHATI,Basistha,NH-37,Beharbari Chariali to Lalmati,,,70,67,49,186,22,25,17,64,26.1118143,91.7721392
Assam,CITY GUWAHATI,Azara,NH-37,Azara PHC to Dharapur Petrol Pump,,,39,40,39,118,7,9,15,31,26.1245031,91.617651
Assam,CITY GUWAHATI,Jorabat,NH-37,8th Mile to 9th Mile,,,31,31,24,86,7,10,11,28,26.0988694,91.862321
Assam,CITY GUWAHATI,Basistha,NH-37,Basistha Chariali (Gurdwara Cutting) to Kinara,,,42,43,44,129,12,12,11,35,26.112232,91.797673
Bihar,Naugachia,Naugachia,NH 31,Near Zero Mile,,,14,12,0,26,22,19,0,41,25.387344,87.0979867
Bihar,Gaya,Magadh Medical,NH 83,Cant Area,98,98.4,6,0,10,16,8,0,15,23,24.770954,84.9614342
Bihar,Gaya,Barachatti,NH 02,Kahubag,1036.7,1037.3,4,7,1,12,8,8,6,22,24.505218,85.0053329
Bihar,Gaya,Sherghati,NH 02,Gopalpur,1010.8,1011.2,6,2,3,11,11,7,3,21,19.2647208,84.8620054
Bihar,Naugachia,Naugachia,NH 31,Near Bus Stand,,,12,0,0,12,18,0,0,18,25.387344,87.0979867
Bihar,Gaya,Dobhi,NH 83,Bajaura,121.8,122.2,7,1,0,8,16,1,0,17,31.846461,77.1605328
Bihar,Muzaffarpur,Ahiapur,NH 77,Bhikhanpura,,,5,4,2,11,10,4,2,16,26.0987422,85.3821747
Bihar,Aurangabad,Madanpur,NH 02,Shivganj,974,974.7,6,3,5,14,8,1,6,15,25.1418179,73.0626351
Bihar,Samastipur,Ujiyarpur,NH 28,Satanpur,581,581.6,11,0,4,15,10,0,5,15,25.7529785,85.7817145
Bihar,Patna ,,NH 30,New bypass Karmali chak 70feet to west 500mtr.,,,13,10,7,30,7,4,3,14,,
Chandigarh,Chandigarh ,Sector-31,NH-5,Airport L/Point to CRPF Campus Hallo Majra,7.54,7.04,2,5,5,12,2,6,4,12,30.681267,76.7975667
Chandigarh,Chandigarh ,Sector-31,NH-5,Poultry farm Chowk to BSNL Turn,5.03,4.53,4,4,4,12,4,4,3,11,28.4528403,77.0497982
Chandigarh,Chandigarh ,Sector-31,NH-5,Tribune Chowk,4.1,4.6,3,0,3,6,3,0,3,6,30.703334,76.788811
Chandigarh,Chandigarh ,Sector-31,NH-5,Hallomajra L/Point,5.12,5.62,4,1,1,6,3,1,1,5,30.6867029,76.7951389
Chandigarh,Chandigarh ,Sector-36,NH-5,In front of ISBT- Sec.43,2,2,3,2,1,6,2,2,1,5,30.717205,76.74333
Chandigarh,Chandigarh ,Sector-39,NH-5,Badheri Chowk,4.2,4.7,3,1,2,6,1,1,2,4,30.7317011,76.7347343
Chhattishgarh,Balrampur,Balrampur,NH 343,Daldhova,73.8,74.3,1,1,0,2,18,1,0,19,23.3452948,83.3468379
Chhattishgarh,RAIPUR,AMANAKA,NH 53,TATIBANDH CHOWK SE SARONA OVERBRIZE TAK ,9.8,10.3,5,4,2,11,5,4,8,17,21.2614068,81.5759054
Chhattishgarh,Sarguja,Ambikapur,NH 130,Mendrakalra,210.6,211.1,4,5,5,14,4,5,4,13,23.1294374,83.1861138
Chhattishgarh,RAIPUR,RAJENDRA,NH 53,PACHPEDINAKA ,0.8,0.9,5,5,2,12,5,5,2,12,21.2134676,81.6537833
Chhattishgarh,Mahasamund,Sankara,NH-53,Sankara,156.02,156.08,2,6,1,9,3,8,1,12,,
Chhattishgarh,Rajnandgaon,Lalbag,NH 53,Pendri,346,346.4,4,7,3,14,2,7,3,12,21.1705169,80.9622388
Chhattishgarh,Bilaspur,Ratanpur,NH 111,Khandoba Sanjhipara Bypass,21,21.5,21,2,8,31,7,3,2,12,18.2780997,74.1612194
Chhattishgarh,Bilaspur,Sirgitti,NH 130,Tifara Overbridge,5,5.5,9,0,4,13,5,4,2,11,22.0417712,82.1529178
Chhattishgarh,Sarguja,Ambikapur,NH 130,Sandbar,218,218.5,6,4,3,13,5,4,2,11,23.1294374,83.1861138
Chhattishgarh,Durg,Old Bhilai,NH-53,Charoda,302.5,303,4,3,2,9,5,3,2,10,21.2093023,81.4368153
Delhi,NORTH WEST,"SP Badli, Swaroop Nagar",NH-1,LIBAS PUR BUS STAND,16.2,15.7,16,10,18,44,10,3,9,22,28.7508636,77.1459998
Delhi,NORTH WEST,Mahendra Park and SP Badli,NH-1,MUKARBA CHOWK,14.2,13.7,24,18,16,58,5,6,7,18,28.736791,77.160202
Delhi,NORTH WEST,Alipur,NH-1,SHANI MANDIR,22.2,21.7,17,9,3,29,10,8,0,18,19.3809105,74.8581505
Delhi,NORTH WEST,Adarsh Nagar,NH-1,AZAD PUR CHOWK,10.1,9.6,15,19,8,42,2,9,5,16,28.7146959,77.1770461
Delhi,WEST ,Punjabi Bagh,NH-10,PUNJABI BAGH CHOWK,8.7,8.2,18,12,20,50,6,5,5,16,28.6735407,77.1403107
Delhi,NORTH WEST,"SP Badli, Swaroop nagar",NH-1,SIRASPUR,17.5,17,9,13,11,33,2,8,6,16,28.7590483,77.1305634
Delhi,SOUTH,Vasant Kunj South and North,NH-8,MAHIPALPUR FLYOVER,18.3,17.8,19,18,12,49,2,6,7,15,28.5451509,77.121482
Delhi,WEST,Punjabi Bagh,NH-10,METRO STATION MADIPUR,12.1,11.6,12,21,15,48,4,6,5,15,28.6761574,77.1195723
Delhi,NORTH WEST,Alipur,NH-1,SINGHU BORDER,29,28.5,7,8,8,23,2,5,8,15,28.8574304,77.1243644
Delhi,WEST,Mianwali Nagar,NH-10,PEERA GARHI CHOWK,14.7,14.2,17,14,20,51,3,5,6,14,28.6795426,77.0946206
Goa,North Goa,Old Goa,NH  748,"Malik Petrol Pump, Corlim (500 mtrs)","Railway Bridge, Corlim (250 Mtrs)","Cross Mollar, Corlim (250 Mtrs)",3,3,1,7,3,7,1,11,15.4934451,73.9406591
Goa,North Goa,Agacaim,NH  66,Agacaim Bypass road (500 Mtrs),Toll Naka (250 Mtrs),Edward Barand rest (250 Mtrs),7,0,1,8,8,0,1,9,15.4286695,73.8983032
Goa,North Goa,Porvorim,NH  66,Damian De Goa to Tisk Porvorim (500 Mtrs),Damian De Goa (250 Mtrs),Tisk Porvorim (250 Mtrs),3,6,1,10,3,5,1,9,15.5388245,73.8315417
Goa,South Goa,Collem,NH 66,Anmod Ghat (12 km),Nandran     (6 km),Goa Border (6 km),4,7,1,12,3,4,2,9,15.43643,74.3103546
Goa,North Goa,Porvorim,NH 66,Old Porvorim Bazar (500 Mtrs),Damiandi Goa (250 Mtrs),Tisk Porvorim (250 Mtrs),3,6,,9,3,5,,8,15.5388245,73.8315417
Goa,North Goa,Pernem,NH 66,Naibag Slope (500 Mtrs),Panjabi Dhaba (250 Mtrs),Naibag Junction (250 Mtrs),1,5,,6,1,6,,7,15.7198284,73.7963222
Goa,North Goa,Porvorim,NH  66,Holy Family Church to Wadakadem (500 Mtrs),Holy Family Church(250 Mtrs),Wadakadem Porvorim (250 Mtrs),3,3,2,8,3,2,1,6,15.5388245,73.8315417
Goa,North Goa,Pernem,NH  66,Chopdem Junction  (500 Mtrs),Near Chopdem bridge (250 Mtrs),Agarwada Junction (250 Mtrs),1,4,2,7,1,2,3,6,15.6371103,73.7551405
Goa,South Goa,Ponda,NH 748,Cone Farmagudi (500 Mtrs),Cone Priol (250 Mtrs),Farmagudi out Post  (250 Mtrs),2,3,7,12,1,1,4,6,15.4027005,74.0077849
Goa,South Goa,Vasco,NH 566,Dabolim (1Km),Dabolim Railway Bridge (500 Mtrs),Air Port Junction (500 Mtrs),3,4,5,12,1,2,3,6,15.390198,73.8547036
Gujarat,Surat rural,kosamba,N.H-48,Pipodara,235,235.5,19,18,29,66,15,13,17,45,21.3602405,72.9599129
Gujarat,"Vadodara
Rural",Varnama,NH,"Por Itola
Chokdi",12,12.5,10,5,15,30,12,5,24,41,22.1877472,73.1708378
Gujarat,Vadodara Rural,Karjan,NH 48,"Near Sansrod
Chokdi",21,21.5,5,7,14,26,8,12,18,38,21.9084104,73.0803713
Gujarat,Vadodara Rural,Karjan,NH 48,"Near
Kandari Chokdi",6,6.5,5,11,9,25,8,14,15,37,22.0534997,73.1201988
Gujarat,Vadodara city,Makarpura,8,"Sundarpura patiya To Ah' bad km.
Jambuva
bridgi",131.5,132,12,12,12,36,7,15,8,30,22.2170367,73.186587
Gujarat,"Vadodara
Rural",Varnama,NH,"Varsada
Chokdi",4.5,5,5,6,7,18,12,8,10,30,22.1877472,73.1708378
Gujarat,GIR SOMNATH,UNA,NH-51,"NATHEJ VILLAGE
NEAR",4,4.5,4,4,0,8,22,8,0,30,20.8508912,71.0928603
Gujarat,GIR SOMNATH,UNA,NH-51,"NALIYA MANDVI NAGINA DHORA
PASE",10,10.5,4,4,,8,22,8,,30,20.7521231,71.0170897
Gujarat,Surat rural,kosamba,N.H-48,"Nandavpati
ya",224,224.5,14,17,20,51,11,7,11,29,21.4716332,72.9549987
Gujarat,Vadodara Rural,Karjan,NH 48,Near Bamangam,11.5,12,5,6,7,18,8,11,9,28,22.2873625,73.0065816
Haryana,Sonipat,Murthal,44,Kamaspur Chowk,46.1,46.6,9,9,14,32,10,16,13,39,28.9920973,77.0837977
Haryana,Sonipat,Rai,44,Balgarh Chowk,41.9,42.4,14,10,10,34,11,16,11,38,28.9611609,77.0932643
Haryana,Ambala ,Parao,44,Near Vill. Mohra,191.4,191.85,10,10,11,31,10,8,10,28,,
Haryana,Ambala ,Parao,44,Shastri cut,197.97,198.47,4,4,9,17,4,8,8,20,,
Haryana,Sonipat,Kundli,44,Pau Maniyari cut,31.73,32.2,8,4,4,16,10,4,4,18,,
Haryana,Sonipat,Rai,44,Rai cut,38.82,39.22,5,6,7,18,7,6,5,18,,
Haryana,Sonipat,Rai,44,Biswan meel,37.36,37.9,5,5,6,16,6,5,6,17,27.4937578,80.9964806
Haryana,Fatehabad,Sadar ,9,Dariyapur,227.2,227.22,6,4,5,15,4,4,8,16,23.0340575,72.5936793
Haryana,Panipat,Chandni Bag,44,Siwah cut,84,84.5,4,6,14,24,3,5,5,13,29.3411553,76.9831816
Haryana,Faridabad,Sec-37,44,NHPC Metro Station,21.7,22.2,1,3,6,10,1,4,5,10,28.4577014,77.3074428
Himachal Pradesh,Mandi,BSL Colony Sundernagar,NH 21,Tail Control,Humsafar chowk 177/530,Tail Control 177/990,4,2,3,9,9,4,11,24,31.5299004,76.888941
Himachal Pradesh,Mandi,BSL Colony Sundernagar,NH 21,Naresh Chowk,Tail Control 177/990,Naresh Chowk 178/255,1,7,3,11,1,12,4,17,31.5299004,76.888941
Himachal Pradesh,Shimla,Theog,NH-5,Near Dogra Mod Sandhu,178.3,178.5,5,6,4,15,4,3,7,14,31.1182802,77.3597194
Himachal Pradesh,Shimla,Kumarsain,NH-5,Singhapur,252.9,253.26,2,4,1,7,3,6,2,11,20.8141893,86.1363786
Himachal Pradesh,Shimla,New Shimla,NH-5,Mist Chamber Crossing to Khalini Bifurcation ,146.2,146.7,2,2,3,7,6,2,3,11,31.0843682,77.161458
Himachal Pradesh,Baddi,Baddi,NH/105,Kishanpura,24/600,25/100,10,5,,15,7,3,,10,25.289147,75.626628
Himachal Pradesh,Shimla,Kumarsain,NH-5,Reddi Khad,208.5,209,2,4,1,7,3,6,1,10,31.3182709,77.4458151
Himachal Pradesh,Kangra,Shahpur,NH 154,Sarnu near water kuhal ,63/735,63/885,2,4,2,8,2,5,2,9,16.6956754,76.8431564
Himachal Pradesh,Kangra,Indora,NH 44,Mohtali ramp,104/740,104/760,2,3,3,8,3,3,3,9,32.2167347,75.6686865
Himachal Pradesh,Baddi,Baddi,NH/105,Bhud,22/400,22/900,9,11,,20,3,6,,9,30.9525642,76.785057
Jammu and Kashmir,Ramban,Ramban,NHW-1A,Kelamorh,159,159.5,1,3,2,6,1,9,26,36,33.2463875,75.1938909
Jammu and Kashmir,Ramban,Ramsoo,NHW-1A,Nachlana,173,173.5,1,4,3,10,2,19,4,28,33.3613594,75.1722108
Jammu and Kashmir,Samba,Bari Brahmana,NHW-44, Railway crossing,13.5,14,5,6,6,23,6,4,5,19,32.6365219,74.9141351
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Chamalwas,179,179.5,3,1,1,8,11,2,1,18,33.385502,75.2099821
Jammu and Kashmir,Kathua,Kathua,NH,Barnoti Morh,8 km ,8 ½ km,19,18,15,70,4,5,3,16,32.4301639,75.4355652
Jammu and Kashmir,Kathua,Rajbagh,NH,Rajbagh,500 mtrs,01 Km,15,10,17,75,3,0,6,14,34.0661987,74.8287807
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Shatani Nallah,202,202.5,1,2,0,4,2,5,0,14,33.5025521,75.1916283
Jammu and Kashmir,Kathua,Lakhanpur,NH,Lakhanpur  to Golden Gate,500 mtrs,1 km,8,7,10,33,1,4,2,12,32.3853003,75.6419023
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Shabanbass,180,180.5,3,0,1,6,8,0,1,11,33.4370131,75.1939345
Jammu and Kashmir,Samba,Samba,NHW-44, Bus Stand Chowk,1,1.5,16,7,5,28,7,2,1,10,,
Jharkhand,Deoghar,Jasidih,NH-333,Near Digariya pahar,147.5,148,0,4,1,5,0,2,0,2,26.3006162,74.9898712
Jharkhand,Deoghar,Jasidih,NH-333,"Deoghar Jasidih road, Near Railway Over Bridge",156.8,157.3,1,2,2,5,1,1,1,3,24.5143007,86.6447597
Jharkhand,Deoghar,Mohanpur,NH-114A,"Hindolwaran,Deoghar Dumka road",121.65,122.15,3,2,2,7,2,2,0,4,24.4914795,86.7236895
Jharkhand,Dumka,Dumka town,NH114A,Pusaro Bridge,66.5,67,0,1,5,6,0,1,3,4,24.2907271,87.2328042
Jharkhand,Dumka,Jama,NH114A,Asanthar,82,82.5,1,2,2,5,0,2,0,2,24.3708132,87.1210889
Jharkhand,Dumka,Jarmundi,NH114A,Basukinath Bus Stand,87,87.5,1,0,5,6,1,0,4,5,24.3863547,87.0799077
Jharkhand,Dumka,Jarmundi,NH114A,Jarmundi Bajrangbali More,92,92.5,6,1,1,8,5,0,0,5,24.3905233,87.040235
Jharkhand,Dumka,Mufassil,NH114A,Dasoraidih,55.2,55.7,0,4,3,7,0,3,2,5,,
Jharkhand,Dumka,Saraiyahat,NH114A,Chihuntiya,104.5,105,0,3,2,5,0,3,3,6,24.580113,87.0105681
Jharkhand,Dumka,Shikaripara,NH114A,"Patabari, Barmasia",48,48.5,9,2,2,13,5,0,2,7,24.2127713,87.3717681
Karnataka,Ramanagar District,Kaggalipura PS,NH 209,Agara Cross,7.5 Km,8  Km,9,24,35,68,13,14,10,37,12.2751499,76.890797
Karnataka,Bagalkot District ,BGK RL PS,NH 50,Devalapur Cross,0,500 (Mtrs),4,2,7,13,13,14,8,35,15.7837783,74.8229316
Karnataka,Ramanagar District,Traffic Station,     NH-275,Mayaganahalli,8Km,8.5Km,8,9,13,30,13,14,3,30,12.7685803,77.3354429
Karnataka,Raichur District,Raichur Rural ,NH,Base Pawer To M.P.C.L,0,500m,7,5,6,18,12,9,8,29,16.216018,77.3565608
Karnataka,Chitradurga District,HIRIYUR RURAL POLICE STATION,NH-4,J.G.HALLI,17.5 km,18 km,9,12,6,27,7,12,9,28,13.7822925,76.5799319
Karnataka,Mandya ,Mandya Traffic ,NH-275,In front of east ps cross ,263.1,263.3,8,11,9,28,4,11,12,27,12.5218157,76.8951488
Karnataka,Raichur District,Maski,NH,Lingasagur- Maski Road  Santekellur Near,0,500m,1,,6,7,1,,23,24,16.1550404,76.5199195
Karnataka,Bengalurr city,Electronic city Trffic Police Station ,National Highway-07,Hosuru Main Road ( HULIMAVU  Tr PS TO Singasandra  Bus Stop TO  Singasandra Bus stop ) ,   9.3 KM, 9.7 KM,6,15,25,46,4,4,15,23,12.8811382,77.6493839
Karnataka,Ramanagar District,Kaggalipura,NH 209,Lakshmipura Temple,6 Km,6.5 Km,6,12,23,41,10,5,8,23,12.2751499,76.890797
Karnataka,Bangalore District ,Hebbagodi,NH-07,Hebbagodi Bus Stop,0.00 Km,100 M,8,9,6,23,8,9,6,23,12.8257264,77.6780035
