Sl. No.,Name of District,Name of Police Station,Name of Landmark,Name of Location,Name of Road,Type of Road,Sum of Fatal & Grievous Injury Crashes,Number of Fatalities,Accident Severity Index,Latitude,Longitude
1,Thiruvananthapuram,Karamana,Pappanamcode Mosque - Kerala Gramin Bank,Pappanamcode Junction,National Highway 66 (NH 66),NH,102,15,366,8.721976699999999,77.0370562
2,Kollam,Chavara PS,Regent Lake Palace - 110m before Hindustan Petroleum,Parimanam Temple,National Highway 66 (NH 66),NH,99,17,357,8.9559195,76.5347317
3,Thiruvananthapuram,CITY TRAFFIC,Tax Towers - Karamana Junction,Karamana Junction,National Highway 66 (NH 66),NH,94,8,314,8.4814821,76.9668264
4,Malappuram,KUTTIPURAM,Vyapara Bhavan - 200m after Highway Junction,Kuttipuram Highway Junction,National Highway 66 (NH 66),NH,86,12,306,10.8417455,76.0286498
5,Thiruvananthapuram,Balaramapuram,Kodinada Junction - Indian Oil Petrol Pump,Balaramapuram Junction,National Highway 66 (NH 66),NH,92,6,300,8.4320632,77.0502803
6,Ernakulam,ANGAMALI,HP Petrol Pump -  Angamali Junction,Angamali Junction,National Highway 544 (NH - 544),NH,83,12,297,10.1926394,76.3869289
7,Alappuzha,KUTHIYATHODE,Jn),Thuravoor Junction,National Highway 66 (NH 66),NH,73,14,275,9.7704378,76.3203091
8,Alappuzha,AROOR,100m before Aroor Police Station - 100m after St. Mary's Church Chandiroor,Chandiroor,National Highway 66 (NH 66),NH,68,16,264,9.8433362,76.30887589999999
9,Alappuzha,Harippad,120m after Kunjanvathukal Temple - 120m before Karuvatta Post Office,"Ashramam, Karuvatta South",National Highway 66 (NH 66),NH,66,18,262,9.3145667,76.4333761
10,Thiruvananthapuram,CITY TRAFFIC,East Fort KSRTC Depo Junction -  Attakulangara Junction,East Fort Junction,Mahatma Gandhi road,OR,70,10,250,10.5228735,76.2257362
11,Kollam,Chavara PS,"Kerala Water Authority Office-Hindustan Petroleum,edappillykotta",Edapallykotta,National Highway 66 (NH 66),NH,67,16,249,9.010362899999999,76.5387076
12,Kollam,Karunagappally PS,HP Petrol Pump - Karunagappally High School Junction,Junction,National Highway 66 (NH 66),NH,72,8,248,9.0601,76.535487
13,Alappuzha,Aroor,"ICICI Bank ATM, Aroor - SBI Bank Aroor",Aroor Main Junction,National Highway 66 (NH 66),NH,65,14,243,9.878191,76.3038672
14,Thiruvananthapuram,City Traffic,Overbridge Junction - East Fort KSRTC Depo Junction,Overbridge Junction,Mahatma Gandhi road,OR,67,10,241,8.4845276,76.9477422
15,Kozhikode,TRAFFIC STATION,160m after IOC Petrol Pump - 75m after Sarovaram Road Junction,Eranjippalam Junction,National Highway 766 (NH 766),NH,64,11,236,11.279426,75.78423149999999
16,Thiruvananthapuram,Karamana,Killipalam Junction - Bharat Petroleum Petrol Pump,Killipalam Junction,National Highway 66 (NH 66),NH,66,9,234,8.4762189,76.95998519999999
17,Thiruvananthapuram,City Traffic,Shakthi Hospital - 200m after Pravachambalam Junction,Pravachambalam,National Highway 66 (NH 66),NH,68,4,220,8.449438899999999,77.01146469999999
18,Kollam,OCHIRA,IOC Petrol Pump - 160m after Vavvakavu Juma Masjid,Vavvakavu Junction,National Highway 66 (NH 66),NH,61,9,219,9.100670299999999,76.5220059
19,Kollam,KARUNAGAPPALLY,Vijaya Beer and Wine Parlour - Lalaji Junction,KSRTC Stand Karunagappally,National Highway 66 (NH 66),NH,61,9,219,9.0597934,76.5355902
20,Kottayam,Changanachery,80m before Dhanlaxmi Bank - Dream Indane Services,Perunna Junction,National Highway 183 (NH 183),NH,61,9,219,9.4382059,76.54429350000001
21,Thrissur,CHALAKUDI,140 mts before Kallada Travels - Chungath Tourist Home,Chalakudi South Junction,National Highway 544 (NH - 544),NH,57,13,219,10.301714,76.3369549
22,Thiruvananthapuram,City Traffic,MGM School -  Kuzhivila Junction,Kuzhivila Junction,National Highway 66 Bypass (NH 6,NH,62,8,218,8.3440722,77.0558937
23,Alappuzha,Pattanakkadu,"50m before The Alleppey District Cooperative Bank, Pattanakad - Govt LP
School Pattanakkad",Pattanakkad,National Highway 66 (NH 66),NH,55,13,217,9.7284118,76.3098795
24,Thrissur,Pudukkad,Pulickan Road Jn - Post Office Pudukad,Pudukad,National Highway 544 (NH - 544),NH,58,10,214,10.4191287,76.27032849999999
25,Kollam,Kollam Traffic PS,300m before Ayathil Junction - 140m before Royal auditorium,Ayathil Junction,National Highway 66 Bypass (NH 6,NH,65,4,211,8.8965736,76.6354952
26,Thrissur,Pudukkad,110 mts after Gogulam Residency - 140 m after BPCL Pump,Amballoor Junction,National Highway 544 (NH - 544),NH,66,3,210,9.8674044,76.400916
27,Alappuzha,Nooranadu,"State Bank of India - Head Post Office, Nooranad",Nooranad,Kayamkulam - Pathanapuram (SH,SH,58,10,206,9.163739399999999,76.6429469
28,Kozhikode,Traffic City,140m before Asten Specialty Orthopaedic Hospital-State Bank of India,Pantheerankavu,National Highway 66 Bypass (NH 6,NH,56,9,204,11.230561,75.8518447
29,Kollam,Chadayamangalam PS,110m after State Bank of India - Dhanya Supermarket,Ayoor Junction,Main Central Road (SH 1),SH,59,7,201,8.8976966,76.86049349999999
30,Alappuzha,NOORANADU,"Federal Bank ATM - KSEB Section Office,Charummoodu",Charummoodu,National Highway 183 (NH 183),NH,54,9,198,9.1723708,76.6080554
31,Thiruvananthapuram,CITY TRAFFIC,Government Fine Arts College - VJT Hall Junction,Palayam,National Highway 66 (NH 66),NH,59,5,197,8.5039157,76.9510538
32,Pathanamthitta,THIRUVALLA,110m after HP Petrol Pump - CSI Church,Thukalassery,National Highway 183 (NH 183),NH,59,4,193,9.374420899999999,76.579165
33,Kozhikode,Traffic City,80m before Arayidathu Palam - Sowbhagya Shopping Complex,Arayidathupalam Junction,Mavoor road,OR,57,8,191,11.2589499,75.7914406
34,Thiruvananthapuram,Attingal,Axis Bank - Attingal Municipal Service Sahakarana Bank,Alamcode Junction,National Highway 66 (NH 66),NH,53,8,191,8.7210462,76.8128136
35,Kollam,Kollam East PS,State Bank of India - Xavier's Residency,Prathibha Junction,National Highway 744 (NH 744),NH,58,4,190,,
36,Alappuzha,Kayamkulam,"Indus Motors,Kottukulangara - Masjid AlTaqwa",Kottukulangara,National Highway 66 (NH 66),NH,54,7,190,9.1921421,76.48667230000001
37,Alappuzha,Harippad,SBI Harippad - 190m after Harippad Highway Junction,Harippad Junction,National Highway 66 (NH 66),NH,47,12,189,9.2798559,76.4592235
38,Thiruvananthapuram,KALLAMBALAM,75m after ICICI Bank - Kallambalam Police Station,Kallambalam Junction,National Highway 66 (NH 66),NH,52,8,188,8.7631242,76.7913385
39,Thrissur,KORATTI,St Marys Hospital- 210mts before Koratty Police Station,Koratty Junction,National Highway 544 (NH - 544),NH,52,8,184,10.261643,76.357222
40,Thiruvananthapuram,City Traffic,BSNL RTTC - 50m before Pappanamcode Mosque,Kaimanam,National Highway 66 (NH 66),NH,57,3,183,8.4741182,76.9772675
41,Kollam,Kottiyam PS,Dhanya Supermarket - State Bank of India,Kottiyam Junction,National Highway 66 (NH 66),NH,54,5,182,8.865944899999999,76.6708752
42,Ernakulam,CITY TRAFFIC EAST,Hotel New Regency - D'Life Vyttila,Vyttila Junction,National Highway 66 (NH 66),NH,50,9,182,9.968657,76.31837999999999
43,Alappuzha,Cherthala,70m after NEXA Cherthala - 100m before St Marys School Road Junction,"Pullattuvadakkeveli, Cherthala",National Highway 66 (NH 66),NH,55,4,181,9.6781499,76.3260992
44,Kollam,OCHIRA,Sarada Devi Temple -  Sree Mahadeva Saw Mill,Changankulangara,National Highway 66 (NH 66),NH,47,11,181,9.1096398,76.5213648
45,Thrissur,KUNNAMKULAM,Samsung Furniture Mart - Kunnamkulam Police Station,Kunnamkulam Junction,Thrissur - Kuttipuram Road (SH - 6,SH,47,11,181,10.6508216,76.0693366
46,Thiruvananthapuram,CITY TRAFFIC,250m before and after Pallichal Junction,Pallichal,National Highway 66 (NH 66),NH,50,6,178,8.450037499999999,77.026113
47,Alappuzha,Pattanakkadu,Pattanakad Grama Panchayath Office - SCUGVHSS Pattanakad,"Mahadeva Temple, Pattanakad",National Highway 66 (NH 66),NH,46,11,178,9.7307149,76.3176155
48,Kollam,Chavara PS,Puthenthura Bakery Junction - 90m before Regency Lake Palace,Altharamoodu Junction,National Highway 66 (NH 66),NH,43,12,177,8.8869817,76.57523909999999
49,Kottayam,ETTUMANOOR,Village Office Ettumanoor - Bus Station Entry,Ettumanoor,Main Central Road (SH 1),SH,52,5,176,9.670626,76.55788199999999
50,Pathanamthitta,ADOOR,Central Junction - 85m after A G Town Hall,"Central Junction, Adoor",Main Central Road (SH 1),SH,54,3,174,9.1526663,76.7359616
51,Ernakulam,AIRPORT,St.George Jacobite Syrian Chapel-  Airport Jn,Athani Junction,National Highway 544 (NH - 544),NH,51,5,173,,
52,Alappuzha,Kayamkulam,100m before TEXMO Home Applainces - NCS TATA Motors Kayamkulam,Highway Palace Kayamkulam,National Highway 66 (NH 66),NH,47,8,173,9.1641038,76.5026518
53,Kollam,Chavara PS,Hima Hotel - Neeendakara Bridge,Neendakara Junction,National Highway 66 (NH 66),NH,47,8,173,8.937319,76.54444339999999
54,Thiruvananthapuram,BALARAMAPURAM,"Poonkodu Mulluvila Sree Bhadrakali Temple - 50m after Mahindra First Choice
Wheels Ltd",Vedivechancoil,National Highway 66 (NH 66),NH,52,4,172,8.430338299999999,77.0319784
55,Alappuzha,Mararikkulam,50m after Sacred Heart Church - Mayithara Market,Mayithara,National Highway 66 (NH 66),NH,48,8,172,9.6459846,76.33767859999999
56,Thiruvananthapuram,City Traffic,"170m before Kulathoor NH BypassJunction - 100m after South Indian Bank, NH
Bypass Kulathoor",Kulathoor NH Bypass Junction,NH 66 Bypass Road,NH,49,6,171,8.3319382,77.0967357
57,Alappuzha,Kareelakulangara,Sree Dharma Sastha Temple - 120m after Ramapuram Junction,Ramapuram Junction,National Highway 66 (NH 66),NH,41,13,171,9.2225881,76.4769585
58,Thiruvananthapuram,ATTINGAL,"South Indian Bank -  Kerala Gramin Bank, Attingal",Attingal,National Highway 66 (NH 66),NH,50,5,170,8.6982226,76.8136569
59,Alappuzha,Mararikkulam,"Mararikulam North Panchayat Office - 50m after S L Puram Cooperative
Bank,Kanjikuzhy",Mararikulam,National Highway 66 (NH 66),NH,52,3,168,9.598735999999999,76.3116235
60,Thrissur,THRISSUR TRAFFIC PS,70m after HDFC Bank - 90m after Dhanalaxmi Bank ATM,Punkunnam Junction,Thrissur - Kuttipuram Road (SH - 6,SH,49,6,167,10.5352845,76.201512
61,Pathanamthitta,THIRUVALLA,140m Deepa Junction- 50m after Malabar Gold andDiamonds,Deepa Junction,National Highway 183 (NH 183),NH,49,5,167,,
62,Thiruvananthapuram,City Traffic,Muslim Jamaath - State Bank of India Kallampally,Sreekaryam,National Highway 66 (NH 66),NH,50,4,166,8.5467708,76.9163841
63,Thrissur,Thrissur Town East,Swaraj Round North Junction - Vadakke Bus Stand,Cochin Dewaswam Boad Junction,Kodungalloor - Shornur Road (SH,SH,51,3,165,9.9312328,76.26730409999999
64,Kollam,Parippally PS,50m after Ruby Arabian Food Court - Prince Auditorium,Paripally,National Highway 66 (NH 66),NH,44,9,164,8.812348799999999,76.7588672
65,Alappuzha,Vallikunnam,50m before South Indian Bank - IPC Bethel Church,Kattanam,Kayamkulam - Pathanapuram (SH,SH,50,3,162,9.1788593,76.56471739999999
66,Thrissur,Pudukkad,Plaza,Paliyekara,National Highway 544 (NH - 544),NH,50,3,162,10.445455,76.2582941
67,Thiruvananthapuram,City Traffic,School,Valiyathura,Valiyathura - Muttathara Road,OR,50,3,162,8.4646156,76.9275756
68,Alappuzha,Punnapra,Punnapra North Post Office - Punnapra Brethren Assembly Church,Paravoor Junction,National Highway 66 (NH 66),NH,43,9,161,10.1196528,76.3428838
69,Kottayam,Gandhinagar,70m after District Sports Council Office - District Homeo Hospital,Nagampadam,Main Central Road (SH 1),SH,39,11,161,9.596799899999999,76.5249419
70,Palakkad,VADAKKENCHERRY,130m after Gayathry Fuels Petrol Pump - 140m after Mangalam Bridge,Mangalam Palam,National Highway 544 (NH - 544),NH,39,11,161,10.6028666,76.49245499999999
71,Kollam,CHAVARA,60m after SBI ATM - 50m after Post Office Chavara Bridge,Chavara,National Highway 66 (NH 66),NH,45,7,159,8.9908056,76.5404387
72,Thiruvananthapuram,CITY TRAFFIC,50m before Govt HS Vazhamuttam - Thuppanathu Kavu Devi Temple,Vazhamuttam,National Highway 66 Bypass (NH 6,NH,46,5,158,9.2395911,76.77693239999999
73,Pathanamthitta,PATHANAMTHITTA,"140m before IOC Pump - 70m before Federal Bank, Kumbazha",Kumbazha,State Highway 8,SH,47,4,157,9.2677634,76.8057776
74,Alappuzha,HARIPPAD,K V Jetty Junction- 50m before Puthenpurayil Fm Tyre Haripad,"Kumarapuram, Thamallackal",National Highway 66 (NH 66),NH,39,10,157,9.2870226,76.4201523
75,Kottayam,KURAVILANGADU,180m before Thottuva Junction - 240m after Bharath Timbers,Thottuva,Kuruvilangad Kuruppunthara Road,OR,48,3,156,10.1640821,76.4860252
76,Kollam,Kottiyam PS,Pattathil Road Junction - Overseas Honda,Mylakkad,National Highway 66 (NH 66),NH,44,6,156,8.8702016,76.68891359999999
77,Kollam,KARUNAGAPPALLY,"50m before Puthiyakavu Junction - 80m after  Sheikh Masjid, Puthiyakavu",Puthiyakavu Junction,National Highway 66 (NH 66),NH,44,6,156,9.9245038,76.3597444
78,Kottayam,CHINGAVANAM,Kerala State Beverages Corporation Ltd - 150m after Axis Bank ATM,Kodimatha,National Highway 183 (NH 183),NH,44,6,156,9.5794036,76.5197573
79,Alappuzha,Harippad,50m before SBI ATM - 180m before Karthikapally CARD BANK,"Danapady Junction, Haripad",National Highway 66 (NH 66),NH,40,10,156,9.283317,76.4442711
80,Thrissur,KORATTI,Ottupura Clay House- New Narasimhamoorthy Temple,Muringoor,National Highway 544 (NH - 544),NH,45,7,155,10.2834371,76.3420206
81,Kottayam,Changanassery,80m after Divine Nagar Road Junction - 150m before SBI ATM,Valiyakulam,Karukachal - Changassery Road,OR,41,8,155,9.4796398,76.32935599999999
82,Ernakulam,Traffic East PS,Kundanoor Service Road Junction- Nettoor Jn,Kundannoor Bridge,National Highway 66 (NH 66),NH,50,1,154,9.9360278,76.3076546
83,Kollam,TRAFFIC PS QUILON,"120m before Canara Bank, Thattamala - KTM Showroom",Thattamala,National Highway 66 (NH 66),NH,46,4,154,8.871755499999999,76.6390251
84,Alappuzha,Ambalapuzha,BKM Hospital - 50m after Payalkulangara Sree Devi Temple,Near Ambalappuzha Junction,National Highway 66 (NH 66),NH,43,6,153,9.3833998,76.3552199
85,Kottayam,TRAFFIC PS KOTTAYA,Supreme Computer Systems - Eranjal Road Junction,Kanjikuzhy,National Highway 183 (NH 183),NH,48,2,152,9.939703399999999,76.9354979
86,Kottayam,CHANGANASSERY,Mulamoottil Gold Loan - Maruthi Suzuki Servicing Center,Thuruthy,Main Central Road (SH 1),SH,37,11,151,9.4830705,76.5257654
87,Thiruvananthapuram,CITY TRAFFIC,New Rajasthan Marbles - Aryankuzhy Kamaleswaram Road Junction,Muttathara,National Highway 66 Bypass (NH 6,NH,46,3,150,8.463835000000001,76.93943879999999
88,Alappuzha,Aroor,Road,Chandiroor,National Highway 66 (NH 66),NH,38,11,150,9.8433362,76.30887589999999
89,Kollam,TRAFFIC PS QUILON,110m after Asramam Masjid - 60m after Uliyakovil Road Junction,Asramam,Asramam Road,OR,43,5,149,8.8962934,76.590722
90,Thrissur,Traffic Thrissur,150m before Sakthan Thampuran Bus Stand- 150m after DENA Bank,Sakthan Thampuran Round About,Municipal Office Road,OR,43,5,149,10.5311744,76.21589569999999
91,Kottayam,Ettumanoor,Pandarakalam Finance Private Ltd - State Bank of India,Athirampuzha,Ettumaanoor - Athirampuzha Road,OR,44,4,148,9.6679,76.53295229999999
92,Malappuram,THIROOR,SBI Thazhepalam - IndusIND Bank,Chembra,State Highway 71 (SH 71),SH,44,4,148,11.5117547,76.0887015
93,Thiruvananthapuram,City Traffic,Chaitanya Eye Hospital - St Mary's School,Keasavadaspuram,National Highway 66 (NH 66),NH,44,4,148,8.5297279,76.9384453
94,Alappuzha,CHENGANNOOR,Anjalimoodu Junction - Mathews Mar Athanasius Residential Central School,Anjalimoodu Junction,National Highway 183 (NH 183),NH,40,7,148,9.3029607,76.62642
95,Ernakulam,CITY TRAFFIC EAST,90m after Mumbiath Road Junction - 110m after PHC,Cheranalloor,National Highway 66 (NH 66),NH,45,3,147,10.176785,76.475106
96,Ernakulam,Elamakkara,Edapally Cooperative Bank - 40m before Bhima Jewellers,Edapally,National Highway 66 (NH 66),NH,45,3,147,10.0260688,76.3124753
97,Ernakulam,PERUMBAVOOR,Seemas Wedding Collection - Federal Bank,Perumbavoor,State Highway 16 (SH 16),SH,42,5,146,10.1146301,76.4777526
98,Ernakulam,ALUVA,50m before Vellamparambhu Road Junction - 70m after South Indian Bank ATM,Paravoor Junction,National Highway 544 (NH - 544),NH,42,5,146,10.1196528,76.3428838
99,Thiruvananthapuram,City Traffic,Kerala State IT Mission - 60m affter South Indian Bank,Vellayambalam,State Highway 2 (SH 2),SH,42,5,146,8.508626,76.96574629999999
100,Ernakulam,KALADI,240m before SBI ATM - Krishi Bhavan,Mattoor,Main Central Road (SH 1),SH,43,4,145,10.170628,76.4296056
101,Kozhikode,Feroke,70m before Kerala Gramin Bank - 80m before Parammal Road Junction,Ramanattukara,National Highway 66 (NH 66),NH,39,7,145,11.1895489,75.8698069
102,Ernakulam,CITY TRAFFIC WEST,ICICI Bank - Air Arabia,Atlantis Junction,Mahatma Gandhi road,SH,44,3,144,9.9556378,76.2922342
103,Kozhikode,TRAFFIC STATION,50m before Chinmaya Road Junction - 110m after Thondayad Junction,Thondayad,Mavoor Road,OR,40,6,144,11.2662495,75.8055603
104,Ernakulam,CITY TRAFFIC EAST,Kalamassery Metro Station - 110m after SBI Kalmassery,Kalamassery,National Highway 544 (NH - 544),NH,40,6,144,10.0531493,76.3528075
105,Pathanamthitta,Konni,South Indian Bank - Muthoot Finance,Konni,State Highway 8,SH,45,2,143,9.2267063,76.8496779
106,Pathanamthitta,THIRUVALLA,"310m after Mannankarachira Public Library - 210m before ISKCON Sri Krishna
Temple Thiruvalla",Kavumbhagom,Kavumbhagam - Muthoor road,OR,45,2,143,9.3773125,76.5577143
107,Thiruvananthapuram,City Traffic,"Manacaud Junction - 110m after Federal Bank,Manacaud",Manacaud,Trivandrum Vizhinjam Rd,OR,42,4,142,8.4718533,76.9517797
108,Kozhikode,TRAFFIC STATION,Bishop House - Santhi Bhavan BSS Colony,Malaparamba,National Highway 66 Bypass (NH 6,NH,38,8,142,11.285678,75.8114528
109,Kollam,Kollam Traffic PS,Yes Bank - RP Mall,Kachery Junction,National Highway 66 (NH 66),NH,38,7,142,8.889506200000001,76.5859199
110,Thiruvananthapuram,CITY TRAFFIC,125m before Junction - IOC Petrol Pump,Vellayani Junction,National Highway 66 (NH 66),NH,39,6,141,8.4575994,76.9997668
111,Kollam,Sakthikulangara PS,Poovanpuzha Devi Temple - Govt School Road Jn,Kureepuzha,National Highway 66 (NH 66),NH,35,9,141,8.9182165,76.574302
112,Thiruvananthapuram,ATTINGAL,Kalyan Silks - HP Pump,Attingal,National Highway 66 (NH 66),NH,44,2,140,8.6982226,76.8136569
113,Alappuzha,Kayamkulam,250m after ONK Jn - Indus Motors,Kayamkulam,National Highway 66 (NH 66),NH,41,5,139,9.174842199999999,76.50133520000001
114,Alappuzha,AMBALAPUZHA,200m after SVD UP School - 200m after BP Pump,Purakkad,National Highway 66 (NH 66),NH,41,5,139,9.3535126,76.3652512
115,Thrissur,Thrissur Town West,Thrissur District Co-Operative Bank- Westfort Jn,West Fort Junction,West Fort Road,OR,41,4,139,10.522149,76.2021724
116,Thiruvananthapuram,CITY TRAFFIC,Vattiyoorkavu Juma Masjid - Thoppumukku Junction,Vattiyoorkavu Junction,Vattiyoorkavu - Puliyarakonam Ro,OR,41,4,139,8.524137099999999,76.9881752
117,Kollam,Kottiyam PS,110m after IOC Petrol Pump - Sitara Junction,KIMS Kottiyam,National Highway 66 (NH 66),NH,38,6,138,8.864681200000001,76.6813641
