Sl. No.,Name of District,Name of Police Station,Name of Landmark,Name of Location,Name of Road,Type of Road,Sum of Fatal & Grievous Injury Crashes,Number of Fatalities,Accident Severity Index,Latitude,Longitude
118,Thiruvananthapuram,Attingal,"Yamuna & Kaveri Theatres - Bharath Petroleum Pump, Mamom",Mamom,National Highway 66 (NH 66),NH,39,5,137,28.04303824942533,79.47221735962242
119,Kollam,KUNDARA,St Antony's Shrine - Kundara Railway Station,Mukkada Junction,National Highway 744 (NH 744),NH,39,5,137,8.9578446,76.67384419999999
120,Malappuram,Thenhipalam,Kalarickaliyettu Durga temple- KINFRA,Kakkanchery,National Highway 66 (NH 66),NH,35,8,137,11.1556686,75.891155
121,Thrissur,Pudukkad,60 mts after Jancy Raod Jn - SBI ATM Thalore,Thalore,Thrissur - Thalore Road (High Roa,SH,36,8,136,10.4546512,76.2535486
122,Ernakulam,CITY TRAFFIC WEST,Cherukulam Rd Jn - Panchayath Raj Rd Jn,Palluruthy,Aroor - Thoppumpady road,SH,45,0,135,9.9215812,76.2735721
123,Kottayam,PALAI,Hotel Bion - Lalam Bridge Junction,Lalam Bridge,Main Eastern Highway (SH 8),SH,41,3,135,,
124,Ernakulam,CITY TRAFFIC EAST,Le Meridian - Audi Kochi,Kundanoor Junction,National Highway 66 (NH 66),NH,41,3,135,9.944636599999999,76.31451880000002
125,Kollam,CHAVARA,Vijaya Palace -  Star Bike Workshop,Nallezuthu Junction,National Highway 66 (NH 66),NH,38,5,134,8.9847975,76.5306878
126,Ernakulam,CITY TRAFFIC EAST,Hotel Malabar Illam - Tata Motors,Chalikkavattom,National Highway 66 (NH 66),NH,34,9,134,9.9810576,76.3247705
127,Ernakulam,ALUVA,Tamarind Rajadhani - Pulinchuvadu Metro Station,Pulinchuvadu,National Highway 544 (NH - 544),NH,39,4,133,9.759754899999999,76.4009854
128,Ernakulam,CITY TRAFFIC EAST,PVS Hospital - Mathrubhumi Junction,Kaloor Junction,Banerji Road,SH,39,4,133,9.9950461,76.2921432
129,Ernakulam,CITY TRAFFIC EAST,Decathlon - Chambakkara River Bridge,Thykoodam,National Highway 66 (NH 66),NH,39,4,133,9.9572153,76.3217567
130,Alappuzha,Aroor,"Muthoot, Eramalloor - 50m before Madeena Supermarket",Eramalloor,National Highway 66 (NH 66),NH,35,8,133,9.8234702,76.3111052
131,Idukki,THODUPUZHA,Smitha Hospital -Vengalloor School Road Junction,Vengalloor,Punalur - Muvattupuzha Road (SH,SH,41,2,131,9.9099795,76.7033471
132,Ernakulam,CITY TRAFFIC EAST,"Nest, CUSAT Junction - 70m after Town Hall",South Kalamassery Junction,National Highway 544 (NH - 544),NH,41,2,131,10.0507697,76.3200956
133,Thiruvananthapuram,City Traffic,Ranigiri Church - State Bank of India,Mananthala Junction,Main Central Road (SH 1),SH,41,2,131,8.5607378,76.94324069999999
134,Kollam,Sakthikulangara PS,Central Bank of India - 70m after NSS karayogam,Kavanad,National Highway 66 (NH 66),NH,37,5,131,8.9190445,76.5595359
135,Thiruvananthapuram,Kilimanoor,Indian Overseas Bank - Erapil Road Junction,Kilimanoor Junction,Main Central Road (SH 1),SH,37,5,131,8.769851,76.8811941
136,Thrissur,CHALAKUDI,100 mts before Mini Civil Station - CSI St Johns Church,Court Jn,National Highway 544 (NH - 544),NH,37,5,131,,
137,Ernakulam,Kalamassery,"St Mary's Church - Nest, CUSAT Junction",TVS Junction,National Highway 544 (NH - 544),NH,37,5,131,10.1269313,76.3091299
138,Thiruvananthapuram,City Traffic,180m before Thiruvallom Junction - Maruti Suzuki True Value,Thiruvallom Junction,National Highway 66 Bypass (NH 6,NH,38,5,130,8.4478996,76.9556643
139,Thiruvananthapuram,CITY TRAFFIC,NHAI RO Kerala - 80m after Pettah Junction,Pettah Junction,Palayam Airport road,OR,34,7,130,6.9367858,79.8525385
140,Kozhikode,TRAFFIC STATION,Rajaji Rd Jn -Stadium Junction,Moffusil Bus Stand,Rajaji road,OR,39,3,129,11.2579019,75.78747349999999
141,Thiruvananthapuram,Kazhakkuttom,AJ Hospital Junction - Canara Bank,Kazhakuttom Junction,National Highway 66 (NH 66),NH,39,3,129,8.566029799999999,76.87474999999999
142,Alappuzha,KUTHIYATHODE,Kelamkulangara Bhagavathi Temple - Upasana Auditorium,Kuthiathode,National Highway 66 (NH 66),NH,35,6,129,9.7934071,76.3159664
143,Kozhikode,Vatakara,Marble Mahal - Arya Bhavan Hotel,Narayana Nagar,National Highway 66 (NH 66),NH,40,2,128,12.883589,77.554711
144,Thiruvananthapuram,CITY TRAFFIC,50m after Ananthapuri Hospital - Hotel Pallava Rajadhani,Chakka,National Highway 66 Bypass (NH 6,NH,40,2,128,8.483049399999999,76.9316209
145,Ernakulam,ALUVA,Pulinchuvadu Metro Station - Forest Industries Ltd,Companypadi Junction,National Highway 544 (NH - 544),NH,36,5,128,10.0886928,76.34328699999999
146,Kollam,PARIPPALLY,Mukkada Junction - Highway Motors,Mukkada Junction,National Highway 66 (NH 66),NH,32,8,128,8.9578446,76.67384419999999
147,Kollam,OCHIRA,Hotel Royal Regency - IOC Pump,Oachira Junction,National Highway 66 (NH 66),NH,37,4,127,9.125517199999999,76.5097205
148,Ernakulam,CITY TRAFFIC EAST,Olive Furniture - Hotel Highway Garden,Oberon Mall,National Highway 66 (NH 66),NH,37,4,127,10.0144008,76.3122569
149,Thiruvananthapuram,CITY TRAFFIC,Sree Balakrishna Swamy Temple - Paruthikuzhy Junction,Paruthikuzhy Junction,National Highway 66 Bypass (NH 6,NH,37,4,127,8.4515292,76.94553499999999
150,Thiruvananthapuram,KALLAMBALAM,250m before and after 28th mile,28th Mile,National Highway 66 (NH 66),NH,38,3,126,-32.2418355,116.1191283
151,Thrissur,Kodungallur,Kodungallur Municipal Townhall - Kodungalloor Islahi Masjid,Chandapura Signal Junction,National Highway 66 (NH 66),NH,38,3,126,12.8017099,77.7116112
152,Wayanad,Sulthan Batheri,Ganapathy Temple Jn - 120m before Chungam Junction,Temple Jn,National Highway 766 (NH 766),NH,38,3,126,9.5997582,76.5173131
153,Ernakulam,CITY TRAFFIC EAST,70m after SBI - 270m before Geetanjali Junction,Chakkaraparambu Junction,National Highway 66 (NH 66),NH,38,3,126,9.9898476,76.31886159999999
154,Ernakulam,CITY TRAFFIC EAST,Edapally Toll Junction - 50m after Indian Oil Petrol Pump,Edapally Toll Junction,National Highway 544 (NH - 544),NH,38,3,126,10.023229,76.3090901
155,Thiruvananthapuram,Kazhakkuttom,60m before Hero Motors - AJ Hospital Junction,AJ Hospital Junction,National Highway 66 (NH 66),NH,38,3,126,12.8993521,74.8460278
156,Ernakulam,KALADI,150m before Hotel Kadambari - 140m before Parackal Timber Trust,Marottichuvadu,Main Central Road (SH 1),SH,34,7,126,10.0224919,76.3159664
157,Malappuram,VALANCHERRY,Kerala Gramin Bank - Syndicate Bank ATM,Valanchery Junction,National Highway 66 (NH 66),NH,36,6,124,10.8877717,76.0732189
158,Kottayam,Traffic Kottayam,Junction,Logos Junction,Railway station road,OR,36,4,124,9.5915841,76.5320824
159,Kollam,Parippally PS,"180m before Nadakkal Service Coop Bank - 75m after Kalluvathukal Grama
Panchayath Office",Kalluvathukkal Junction,National Highway 66 (NH 66),NH,32,7,124,8.8325842,76.74539209999999
160,Thiruvananthapuram,CITY TRAFFIC,SBI - Bridge near Infosys,Infosys,National Highway 66 Bypass (NH 6,NH,41,0,123,,
161,Thrissur,Traffic Thrissur,Marar Road Junction - Chettiyangadi Junction,Kurupam Road Junction,Kodungalloor - Shornur Road (SH,SH,37,3,123,18.8498904,83.5285871
162,Thrissur,PERAMANGALAM,Mundur Service Co-Operative Bank - 50m before Federal Bank,Mundur Junction,Thrissur - Kuttipuram Road (SH - 6,SH,37,3,123,10.8364992,76.5801338
163,Ernakulam,CITY TRAFFIC EAST,Sri Muruga Saravana Bhavan - 70m after D.T.D.C.,Kunnumpuram Junction,National Highway 66 (NH 66),NH,38,2,122,10.0433085,76.29893659999999
164,Kollam,Chathannoor PS,70m before Arunodhayam Auditorium - 50m after Federal Bank ATM,Chathanoor Junction,National Highway 66 (NH 66),NH,31,9,121,8.8622508,76.7233631
165,Kollam,PUNALUR,BP Fuel Station - Kumar Palace Road Jn,"TB Jn, Punalur",National Highway 744 (NH 744),NH,31,7,121,9.0176117,76.9260936
166,Kottayam,Kuravilangadu,School,Kuravilangad,Main Central Road (SH 1),SH,36,5,120,9.757589,76.5610256
167,Ernakulam,Perumbavoor,Iringole Post Office - St. Thomas Church,"RTO Office, Iringole",State Highway 16 (SH 16),SH,36,3,120,10.1159686,76.49568550000001
168,Kollam,Killikollur,Catholic Syrian Bank - 140m after KJ Hospital,Moonam kutti,National Highway 744 (NH 744),NH,36,3,120,8.9100367,76.6257475
169,Thiruvananthapuram,City Traffic,"Vettukad Church -  St. Mary's Church, Cheruvettukad",Vettukad,Veli - Shankhumugham road,OR,36,3,120,8.4964792,76.9016845
170,Thrissur,PERAMANGALAM,"130m after Cheerakuzhy Subramania Temple - Adat Farmers Service Co
Operative Bank",Amala Nagar,Thrissur - Kuttipuram Road (SH - 6,SH,32,8,120,10.5634768,76.1677363
171,Kozhikode,TRAFFIC STATION,"KSEB Electrical Section, Pottammal- Abeer Medical Center",Pottamal Junction,Mavoor Road,OR,32,6,120,11.2600276,75.8081509
172,Kollam,KOTTIYAM,80m before HM Shopping Mall - 210m after Kannanalloor Junction,Kannanalloor,Kollam - Ayoor road,OR,37,2,119,8.8935555,76.68241789999999
173,Kozhikode,TRAFFIC STATION,Mango Hypermarket - Salafi Masjid,Mankavu Junction,Mini Bypass road,SH,37,2,119,11.2362116,75.8041394
174,Kozhikode,TRAFFIC STATION,Kunnamangalam UP School - Daymart Supermarket,Kunnamangalam,National Highway 766 (NH 766),NH,37,2,119,11.30493,75.87705199999999
175,Thiruvananthapuram,CITY TRAFFIC,250m before and after Petrol Pump,Thiruvallam Bridge Approach,National Highway 66 Bypass (NH 6,NH,37,2,119,8.4478996,76.9556643
176,Kozhikode,TRAFFIC STATION,YMCA Cross Road Junction - Kozhikode District Co Operative Bank,Mavoor Road Junction,National Highway 766 (NH 766),NH,33,5,119,11.2589488,75.78057079999999
177,Thiruvananthapuram,Kazhakkuttom,TRINS PreSchool - Technopark MainGate,Technopark Junction,National Highway 66 Bypass (NH 6,NH,33,5,119,8.5580967,76.88156049999999
178,Kottayam,TRAFFIC PS KOTTAYA,Seematti Roundabout - Dhanya Remya Theatre,Mahatma Gandhi Square,National Highway 183 (NH 183),NH,38,1,118,8.891491,76.6036987
179,Kollam,KILIKOLLOOR,Killikollur Railway Station -70m after Kairali Ford,Killikollur Junction,National Highway 744 (NH 744),NH,34,4,118,8.9148435,76.6303161
180,Thiruvananthapuram,Venjarammood,Alanthara Petrol Pump - Indian Coffee House,"Gokulam Medical College
Junction, Alanthara",Main Central Road (SH 1),SH,34,4,118,8.6888154,76.9064519
181,Ernakulam,CITY TRAFFIC WEST,50m before St Thomas More Roman Catholic Latin Church - Janatha Junction,Kumbalangi,Aroor - Thoppumpady road,SH,34,4,118,9.8760584,76.2870781
182,Alappuzha,Kuthiathode PS,"Pattukulangara Devi Temple - Indian Coffee House, Thuravoor",Thuravoor,National Highway 66 (NH 66),NH,30,8,118,9.7704378,76.3203091
183,Alappuzha,Punnapra,CSI Church - Carmel Road Junction,"Carmel College Of Engineering,
Aravukad",National Highway 66 (NH 66),NH,30,7,118,9.438325599999999,76.3426825
184,Ernakulam,North Parur,Bank of India ATM - 50m before Kairali Motors,Perumpadanna,Republic Road,OR,35,3,117,10.1422483,76.2156826
185,Thiruvananthapuram,Vattappara,85m after HP Fuel Station - 85m before Yamaha Showroom,Kanyakulangara Junction,Main Central Road (SH 1),SH,35,3,117,8.6299051,76.9368728
186,Thrissur,Thrissur Town West,Society,"Kalyan Nagar, Ayyanthole",Thrissur - kanjani - Vadanapally Ro,SH,35,3,117,10.5209815,76.19141499999999
187,Thrissur,Irinjalakkuda,50 mts before Vellangallur Jn - Glamour Fuels Indian Oil,Vellangallur,Kodungalloor - Shornur Road (SH,SH,35,3,117,10.3030639,76.2090068
188,Alappuzha,Punnapra,"Assembly Road Junction - IOC Pump, Punnapra","Kappakada,Punnapra",National Highway 66 (NH 66),NH,31,6,117,9.4400956,76.3433635
189,Thrissur,KORATTI,Kerala Gramin Bank- 60ms before IOC pump,Chirangara,National Highway 544 (NH - 544),NH,31,6,117,10.2544156,76.36806960000001
190,Palakkad,Traffic Palakkad,220m before Kazchaparambu Junction - Dubai Motors,Kazchaparambu Junction,National Highway 544 (NH - 544),NH,23,14,117,10.7399,76.6467662
191,Thrissur,Traffic Thrissur,District Medical Office - KFC,Ambakkaden Jn,Thrissur - Palghat Road,OR,36,2,116,,
192,Thiruvananthapuram,City Traffic,Karakkamandapam Junction - 100m before Indian Oil Petrol Pump,Karakkamandapam Junction,National Highway 66 (NH 66),NH,36,2,116,8.4578981,76.9993734
193,Thiruvananthapuram,CITY TRAFFIC,Poonthura Junction - SM Lock Junction,Poonthura Junction,Valiyathura - Beemapally - Poonth,OR,36,2,116,8.4436796,76.9439755
194,Ernakulam,MUVATTUPUZHA,40m after Karshika Sahakarana Bank - Nehru Junction,Velloorkunnu Signal Junction,National Highway 85 (NH 85),NH,32,5,116,10.0047378,76.5473781
195,Kottayam,KURAVILANGADU,100m after Vempally Post Office - Vempally Thekkekavala,Vempally,Main Central Road (SH 1),SH,32,5,116,9.713324499999999,76.55893789999999
196,Kozhikode,QUILANDY,Namdilath G Mart - Indian Oil Petrol Pump,Koyilandy Old Bus Stand Junction,National Highway 66 (NH 66),NH,32,5,116,11.4428699,75.6976443
197,Thiruvananthapuram,Varkala,Indian Overseas Bank - Dhanya Supermarket,Varkala,State Highway 64,SH,28,8,116,8.7378685,76.71633589999999
198,Ernakulam,CITY TRAFFIC WEST,50m after Bridge - IG Office,High Court Signal Junction,Shanmugam road,OR,37,1,115,9.983779199999999,76.27395059999999
199,Kollam,Shakthikulangara P S,40m after Kaloor Bhagavathy Temple - Ramankulangara Junction,Ramankulangara,National Highway 66 (NH 66),NH,33,4,115,8.9080804,76.5607607
200,Kozhikode,TRAFFIC STATION,BSNL Exchange Feroke - AM Motors,"Chungam Junction, Feroke",National Highway 66 (NH 66),NH,29,7,115,11.1839529,75.84377239999999
201,Thrissur,KUNNAMKULAM,"Post Office, Kadavalloor - 255m after Kallumpuram Junction",Kallumpuram,Thrissur - Kuttipuram Road (SH - 6,SH,17,1,115,10.7220248,76.07835039999999
202,Ernakulam,Aluva,Hotel Periyar - Market Junction,Aluva Junction,National Highway 544 (NH - 544),NH,34,4,114,10.1003709,76.35703819999999
203,Alappuzha,AROOR,"Primary Health Centre,Aroor  - Keltron Road Jn","Temple Junction, Aroor",National Highway 66 (NH 66),NH,34,3,114,9.878191,76.3038672
204,Kollam,Kottiyam PS,Salafi Masjid Mosque - 175m after Mubarak Plywood and Hardwares,Umayanalloor Junction,National Highway 66 (NH 66),NH,34,3,114,8.8651298,76.6544997
205,Ernakulam,Traffic East PS,Kannanthodath Lane Junction - Modern Food Enterprises,Changampuzha Junction,Palarivattom -  Edapally Road,SH,34,3,114,,
206,Thrissur,VADANAPPILLY,80mts before St. Marys Church 10 th stone- Thalikkulam Village Office,Patham Kallu,National Highway 66 (NH 66),NH,30,10,114,10.4116397,76.1745268
207,Kollam,CHATHANNOOR,70m before Ithikkara Juma Masjid - 55m after Perfect Car Painting Shop (Curve),Ithikkara Junction,National Highway 66 (NH 66),NH,30,7,114,8.8636108,76.69951929999999
208,Alappuzha,Harippad,110m after Hotel Saugandhika Residency - 50m before South Indian Bank ATM,Junction,National Highway 66 (NH 66),NH,30,6,114,9.0601,76.535487
209,Kottayam,CHINGAVANAM,Chingavanam Bretheren Church Road Junction - 90m before Canara Bank,"Manthiran kavala, Kurichy",National Highway 183 (NH 183),NH,35,2,113,40.937607,24.412866
210,Ernakulam,CITY TRAFFIC WEST,Pyari Junction - St. Mary's Syrian Church palluruthy,BOT Bridge Junction,Aroor - Thoppumpady road,SH,35,2,113,9.9312763,76.2673117
211,Alappuzha,Ambalapuzha,325m before and 125m after Sree Kuruttu Bhagavathy Temple,Thottappally Juma Masjid,National Highway 66 (NH 66),NH,31,5,113,9.3286226,76.37652539999999
212,Kozhikode,Koyilandy,120m after JB's Art Gallery - 140m after Vengalam Junction,Vengalam Highway Junction,National Highway 66 (NH 66),NH,23,11,113,11.3690986,75.7398348
213,Kollam,Kollam East PS,St Thomas Syrian Church - Christuraj School,Chemmanmukku,Kappalandimukku - Kadappakkada,OR,32,5,112,8.886073,76.60522929999999
214,Ernakulam,CITY TRAFFIC EAST,Axis Bank and ATM - Federal Bank,Koonamthai,National Highway 544 (NH - 544),NH,32,5,112,10.0332953,76.3130712
215,Ernakulam,NORTH PARUR,St Antony's Church - 70m before Cheriyapally Bridge Approach,Cheriyapally Bridge,National Highway 66 (NH 66),NH,32,4,112,,
216,Pathanamthitta,THIRUVALLA,LP School - 200m after Hospital Road Junction,Aashupathrippadi,Thiruvalla - Mallappally Road (SH,SH,32,4,112,9.8343793,76.74413539999999
217,Thrissur,PERAMANGALAM,Co Operative Bank - 130m after Kerala Gramin Bank ATM,Kaiparambu Junction,Thrissur - Kunnamkulam Road (SH,SH,32,4,112,10.6085768,76.1383628
218,Thiruvananthapuram,CITY TRAFFIC,120m before Pananvila Junction - MG College Gate,Paruthippara Junction,Main Central Road (SH 1),SH,32,4,112,8.542051299999999,76.94570860000002
219,Ernakulam,Aluva,80m after IOCL - Ambattukavu Metro Station,Ambattukavu,National Highway 544 (NH - 544),NH,28,7,112,10.0801785,76.3398496
220,Ernakulam,Muvattupuzha,State Bank Of India - MS used cars Showroom,Peezhakapilly,Main Central Road (SH 1),SH,28,7,112,10.0235848,76.56562559999999
221,Thiruvananthapuram,Medical College,130m after IDBI Bank - Ideal Home Appliances,Ulloor Junction,National Highway 66 (NH 66),NH,33,3,111,8.5298547,76.9286549
222,Ernakulam,CITY TRAFFIC EAST,Avenue Junction - 100m before BSNL Exchange,"SN Junction, Thrippunithura",National Highway 85 (NH 85),NH,29,8,111,9.9556217,76.3501811
223,Alappuzha,Punnapra,140m after Reliance - 90m after Chinmaya,Thookkukulam,National Highway 66 (NH 66),NH,29,7,111,9.4617735,76.3492569
224,Pathanamthitta,PANDALAM,Kanyaka Silk - Indian Oil Petrol Pump,Pandalam Junction,Main Central Road (SH 1),SH,29,7,111,9.2249929,76.678471
225,Kollam,Kottarakkara PS,120m after Indian Oil Petrol Pump - Rajani School,Kalayapuram,Main Central Road (SH 1),SH,29,6,111,9.0518016,76.7631129
226,Kozhikode,TRAFFIC STATION,300m before Feroke Police Station( Towards Bridge) - Feroke Post Office,Pettah Feroke,National Highway 66 (NH 66),NH,29,6,111,11.1734548,75.8352429
227,Thiruvananthapuram,CITY TRAFFIC,Brahmos Aerospace - 110m after Fire And Rescue Station,"Fire And Rescue, Chakkai",Veli - Perumathura road,OR,29,6,111,,
228,Pathanamthitta,ADOOR,210m after St Mary's Church - Mayooram Auditorium,Kilivayal,Main Central Road (SH 1),SH,25,9,111,9.1233142,76.7437522
229,Ernakulam,Kalady,HP Fuel Station - Kerala Gramin Bank,Kalady Junction,Main Central Road (SH 1),SH,34,2,110,8.468259399999999,76.9629111
230,Thiruvananthapuram,City Traffic,VJT Junction - Statue Junction,Statue,National Highway 66 (NH 66),NH,34,2,110,,
231,Kollam,Chavara PS,60m after Le Arabia - 100m before FKM Auditorium,Vettamukku,National Highway 66 (NH 66),NH,30,6,110,8.5066233,76.9859077
232,Alappuzha,Kayamkulam,Center,Oachira Premier Junction,National Highway 66 (NH 66),NH,30,5,110,9.125517199999999,76.5097205
233,Ernakulam,MUNAMBAM,HP Pump - Arya Bhangy Honda Showroom,DevaswomNada Junction,State Highway 63 (SH 63),SH,35,1,109,23.4560874,75.4124471
234,Thiruvananthapuram,Pettah,Pettah Railway Station Junction - Indian Oil Petrol Pump,Naalumukku,Palayam - Airport Rd,OR,31,4,109,8.487535099999999,76.9422498
235,Ernakulam,ANGAMALI,80m before Karukutty Junction - Maxx Inn M Star Hotels,Karukutty Junction,National Highway 544 (NH - 544),NH,27,8,109,10.2269766,76.37487329999999
236,Thiruvananthapuram,KAZHAKUTTOM,"KR Bakers - BSNL Telephone Exchange, Karyavattom",Ambalathinkkara,National Highway 66 (NH 66),NH,27,7,109,8.5644876,76.881104
237,Ernakulam,CITY TRAFFIC EAST,ICICI Bank - St Mary's Church,North Kalamassery,National Highway 544 (NH - 544),NH,32,5,108,10.0563318,76.3171144
238,Alappuzha,HARIPPAD,IOC Pump - Harippad Government Boys High School,"Madhava Junction, Harippad",National Highway 66 (NH 66),NH,32,3,108,9.2826426,76.4543159
